id,tiploc,name
677,BELNGMS,Bellingham Siding
678,BELPER,Belper
679,BELTLC,Belmont Level Crossing
680,BELVEDR,Belvedere
681,BELWTRJ,Bellwater Jn. S.B.
682,BEMPSPE,Speeton
683,BEMPTON,Bempton
684,BENFLET,Benfleet
685,BENHACE,Benhar Jn C.E.
686,BENHARJ,Benhar Jn
687,BENIFAY,Benifayo-Almosafes
688,BENTKIL,Killingworth
689,BENTMET,Benton (metro)
690,BENTON,Benton Nth Jn
691,BEREALS,Bere Alston
692,BEREFRS,Bere Ferrers
693,BERKHMD,Berkhamsted
694,BERRYB,Berry Brow
695,BERWICK,Berwick
696,BESCRLA,Bescar Lane
697,BESJGL,Bedford St Johns G.L.
698,BESJOHN,Bedford St.Johns
699,BESSCRJ,Bessacarr Jn
700,BEST344,Beeston Signal 344
701,BEST918,Beeston SIG TN4918
702,BEST931,Beeston SIG TN4931
703,BESTFHH,Beeston Sims Metals FHH
704,BESTGBR,Beeston Sims Metals GBRf
705,BESTHST,Beeston Headshunt
706,BESTNCS,Beeston Cement Sdgs
707,BESTNMC,Beeston Sims Mcintyre Ltd
708,BESTNNJ,Beeston North Jn
709,BESTNSJ,Beeston South Jn
710,BESTON,Beeston
711,BESTONS,Beeston Sidings
712,BESTRR,Beeston Run Round
713,BESTTSB,Beeston Castle & T.S.B.
714,BETLRSB,Betley Road SB
715,BETSYCD,Betws-y-Coed
716,BETTMBG,Bettembourg
717,BEVERLY,Beverley
718,BEWDLEY,Bewdley
719,BEXHGF,Bexhill Ground Frame
720,BEXHILL,Bexhill
721,BEXLEY,Bexley
722,BGEDSLJ,BARGOED SINGLE LINE JN
723,BGHD,Burghead
724,BGHDDCL,Burghead D.C.L.
725,BGLAN,Baglan
726,BGLNBBP,Baglan Bay BP Cheml EWS
727,BGLNBC,Baglan Bay (COLAS)
728,BGLNBPF,Baglan Bay BP Chem Flin HH
729,BGLNRPT,BAGLAN BAY RPT (COLAS)
730,BGLWECC,Burngullow E.C.C.
731,BGLWFHH,Burngullow (FLHH)
732,BGLWJN,Burngullow Jn
733,BGOALAN,Bridge of Allan
734,BGRN,Barnt Green
