line_code,source,target,distance_miles
LN838,7705,6980,0.0
LN838,6980,4598,0.0
LN838,4598,4071,0.0
LN838,4071,8629,0.0
LN838,8629,5199,0.0
LN838,5199,1650,0.0
LN838,1650,4098,0.0
LN838,4098,7275,0.0
LN838,7275,8344,0.0
LN838,8344,10692,0.0
LN838,10692,11936,0.0
LN838,11936,11937,0.0
LN838,11937,11938,0.0
LN838,11938,11939,0.0
LN840,3250,11068,0.0
LN842,9341,257,0.0
LN842,257,8351,0.0
LN842,8351,112,0.0
LN844,257,4991,0.0
LN846,2211,8351,0.0
LN848,4117,2291,0.0
LN850,10059,10056,0.0
LN852,4474,1211,0.0
LN852,1211,6671,0.0
LN852,6671,5284,0.0
LN852,5284,5285,0.0
LN852,5285,1058,0.0
LN852,1058,6136,0.0
LN852,6136,1059,0.0
LN852,1059,11808,0.0
LN854,4085,4193,0.0
LN854,4193,10695,0.0
LN854,10695,10746,0.0
LN854,10746,6458,0.0
LN854,6458,9053,0.0
LN854,9053,6138,0.0
LN854,6138,3958,0.0
LN854,3958,1153,0.0
LN854,1153,1205,0.0
LN854,1205,4276,0.0
LN854,4276,4275,0.0
LN854,4275,6101,0.0
LN854,6101,6100,0.0
LN854,6100,9196,0.0
LN854,9196,2993,0.0
LN854,2993,4394,0.0
LN854,4394,4395,0.0
LN854,4395,4530,0.0
LN854,4530,4529,0.0
LN854,4529,10056,0.0
LN854,10056,10053,0.0
LN854,10053,9464,0.0
LN854,9464,6654,0.0
LN854,6654,188,0.0
LN854,188,9977,0.0
LN854,9977,11069,0.0
LN854,11069,1642,0.0
LN854,1642,6079,0.0
LN854,6079,6080,0.0
LN854,6080,8193,0.0
LN854,8193,8192,0.0
LN854,8192,1763,0.0
LN854,1763,10629,0.0
LN854,10629,9577,0.0
LN854,9577,2103,0.0
LN854,2103,2101,0.0
LN854,2101,11760,0.0
LN854,11760,11761,0.0
LN854,11761,11940,0.0
LN854,11940,11860,0.0
LN858,6138,2998,0.0
LN858,2998,4358,0.0
LN858,4358,4357,0.0
LN858,4357,5738,0.0
LN858,5738,6136,0.0
LN858,6136,11809,0.0
LN859,3958,2998,0.0
LN860,2614,6395,0.0
LN860,6395,8426,0.0
LN860,8426,4214,0.0
LN860,4214,2561,0.0
LN860,2561,1204,0.0
LN860,1204,4276,0.0
LN860,4276,4275,0.0
LN860,4275,6101,0.0
LN860,6101,6100,0.0
LN860,6100,9196,0.0
LN860,9196,7855,0.0
LN860,7855,2991,0.0
LN860,2991,570,0.0
LN860,570,6381,0.0
LN860,6381,2166,0.0
LN860,2166,10574,0.0
LN860,10574,4212,0.0
LN860,4212,8577,0.0
LN860,8577,11941,0.0
LN860,11941,11677,0.0
LN861,1204,1205,0.0
LN862,11070,2728,0.0
LN862,2728,8362,0.0
LN862,8362,7092,0.0
LN862,7092,2706,0.0
LN862,2706,1992,0.0
LN862,1992,8563,0.0
LN862,8563,8757,0.0
LN862,8757,777,0.0
LN862,777,694,0.0
LN862,694,5554,0.0
LN862,5554,8577,0.0
LN862,8577,4214,0.0
LN862,4214,11942,0.0
LN864,11071,2993,0.0
LN868,10209,6022,0.0
LN868,6022,3042,0.0
LN868,3042,1816,0.0
LN868,1816,3162,0.0
LN868,3162,10262,0.0
LN868,10262,935,0.0
LN868,935,11070,0.0
LN868,11070,2922,0.0
LN868,2922,10256,0.0
LN868,10256,4529,0.0
LN868,4529,11943,0.0
LN870,9464,1912,0.0
LN872,188,6651,0.0
LN872,6651,6050,0.0
LN872,6050,9780,0.0
LN872,9780,8930,0.0
LN872,8930,5420,0.0
LN872,5420,5421,0.0
LN872,5421,5425,0.0
LN872,5425,4445,0.0
LN872,4445,5424,0.0
LN872,5424,5428,0.0
LN872,5428,4446,0.0
LN872,4446,4450,0.0
LN872,4450,4473,0.0
LN872,4473,3250,0.0
LN872,3250,5432,0.0
LN872,5432,11944,0.0
LN874,6050,9977,0.0
LN875,11069,3699,0.0
LN875,3699,11072,0.0
LN875,11072,11711,0.0
LN878,8193,3991,0.0
LN880,10507,10532,0.0
LN880,10532,10533,0.0
